PartipantID,Index,Chart_Type,Vis,VisID,Error,TruePerc,ReportPerc
7,0,0,-1,-1,-224.57936,0.41416207,0.5
7,1,0,-1,-1,-209.42776,0.7691853,0.66
7,2,1,-1,-1,-273.96835,0.57528234,0.6
7,3,0,-1,-1,-276.24307,0.6776244,0.7
7,4,0,-1,-1,-271.75946,0.9529724,0.98
7,5,1,-1,-1,-244.58511,0.6585378,0.6
7,6,1,-1,-1,-229.31857,0.6790245,0.6
7,7,1,-1,-1,-278.56436,0.37997672,0.4
7,8,0,-1,-1,-248.42232,0.44627953,0.5
7,9,1,-1,-1,-278.897,3.1071057E-4,0.02
7,10,0,-1,-1,-290.8848,0.79184747,0.8
7,11,1,-1,-1,-257.27298,0.21308585,0.17
7,12,0,-1,-1,-188.80872,0.80516505,0.66
7,13,1,-1,-1,-147.30144,0.78522885,0.55
7,14,0,-1,-1,-237.10606,0.13169655,0.2
